page_number,naics_id,naics_description,sic_id,sic_description
page_1,111110,Soybean Farming,0116,Soybeans
page_1,111120,Oilseed (except Soybean) Farming,0119,"Cash Grains, Nec"
page_1,111130,Dry Pea and Bean Farming,0119,"Cash Grains, Nec"
page_1,111140,Wheat Farming,0111,wheat
page_1,111150,Corn Farming,0115,Corn
page_1,111150,Corn Farming,0119,"Cash Grains, Nec"
page_1,111160,Rice Farming,0112,Rice
page_1,111191,Oilseed and Grain Combination Farming,0119,"Cash Grains, Nec"
page_1,111199,All Other Grain Farming,0119,"Cash Grains, Nec"
page_1,111199,All Other Grain Farming,0139,"Field Crops, Except Cash Grain"
page_1,111211,Potato Farming,0134,Irish Potatoes
page_1,111211,Potato Farming,0139,"Field Crops, Except Cash Grain"
page_1,111211,Potato Farming,0161,Vegetables and Melons
page_1,111219,Other Vegetable (except Potato) and Melon Farming,0139,"Field Crops, Except Cash Grain"
page_1,111219,Other Vegetable (except Potato) and Melon Farming,0161,Vegetables and Melons
page_1,111310,Orange Groves,0174,Citrus Fruits
page_1,111320,Citrus (except Orange) Groves,0174,Citrus Fruits
page_1,111331,Apple Orchards,0175,Deciduous Tree Fruits
page_1,111332,Grape Vineyards,0172,Grapes
page_1,111333,Strawberry Farming,0171,Berry Crops
page_1,111334,Berry (except Strawberry) Farming,0171,Berry Crops
page_1,111335,Tree Nut Farming,0173,Tree Nuts
page_1,111336,Fruit and Tree Nut Combination Farming,0179,"Fruits and Tree Nuts, Nec"
page_1,111339,Other Noncitrus Fruit Farming,0175,Deciduous Tree Fruits
page_1,111339,Other Noncitrus Fruit Farming,0179,"Fruits and Tree Nuts, Nec"
page_1,111411,Mushroom Production,0182,Food Crops Grown Under Cover
page_1,111419,Other Food Crops Grown Under Cover,0182,Food Crops Grown Under Cover
page_1,111421,Nursery and Tree Production,0181,Ornamental Nursery Products
page_1,111421,Nursery and Tree Production,0811,Timber Tracts
page_1,111422,Floriculture Production,0181,Ornamental Nursery Products
page_1,111910,Tobacco Farming,0132,Tobacco
page_1,111920,Cotton Farming,0131,Cotton
page_1,111930,Sugarcane Farming,0133,Sugarcane and Sugar Beets
page_1,111940,Hay Farming,0139,"Field Crops, Except Cash Grain"
page_1,111991,Sugar Beet Farming,0133,Sugarcane and Sugar Beets
page_1,111992,Peanut Farming,0139,"Field Crops, Except Cash Grain"
page_1,111998,All Other Miscellaneous Crop Farming,0139,"Field Crops, Except Cash Grain"
page_1,111998,All Other Miscellaneous Crop Farming,0191,"General Farms, Primarily Crop"
page_1,111998,All Other Miscellaneous Crop Farming,0831,Forest Products
page_1,111998,All Other Miscellaneous Crop Farming,0919,Miscellaneous Marine Products
page_1,111998,All Other Miscellaneous Crop Farming,2099,"Food Preparations, Nec"
page_1,112111,Beef Cattle Ranching and Farming,0212,"Beef Cattle, Except Feedlots"
page_1,112111,Beef Cattle Ranching and Farming,0241,Dairy Farms
page_1,112112,Cattle Feedlots,0211,Beef Cattle Feedlots
page_1,112120,Dairy Cattle and Milk Production,0241,Dairy Farms
page_1,112130,Dual-Purpose Cattle Ranching and Farming,NA,NA
page_2,112210,Hog and Pig Farming,0213,Hogs
page_2,112310,Chicken Egg Production,0252,Chicken Eggs
page_2,112320,Broilers and Other Meat Type Chicken Production,0251,"Broiler, Fryer, and Roaster Chickens"
page_2,112330,Turkey Production,0253,Turkeys and Turkey Eggs
page_2,112340,Poultry Hatcheries,0254,Poultry Hatcheries
page_2,112390,Other Poultry Production,0259,"Poultry and Eggs, Nec"
page_2,112410,Sheep Farming,0214,Sheep and Goats
page_2,112420,Goat Farming,0214,Sheep and Goats
